mapping,transformation,port,informatica_code,xml_line,pyspark_code_or_ref,confidence,reason
m_demo_mapping1,agg_TRANS,o_ACCT_DESC,o_ACCT_DESC,443,m_demo_mapping1.py:111,LOW,Aggregator pass-through is resolved as the highest-TX_ID row; XML does not define within-group order.
m_demo_mapping1,agg_TRANS,TX_AMT,TX_AMT,444,m_demo_mapping1.py:112,NOT MIGRATED,Input to the SUM aggregate; the pass-through output port is unconnected.
m_demo_mapping1,agg_TRANS,o_crdt_trim,o_crdt_trim,445,m_demo_mapping1.py:113,LOW,Aggregator pass-through is resolved as the highest-TX_ID row; XML does not define within-group order.
m_demo_mapping1,agg_TRANS,CLSR_DT,CLSR_DT,446,m_demo_mapping1.py:114,LOW,Aggregator pass-through is resolved as the highest-TX_ID row; XML does not define within-group order.
m_demo_mapping1,agg_TRANS,TX_ID,TX_ID,447,m_demo_mapping1.py:115,LOW,Aggregator pass-through is resolved as the highest-TX_ID row; XML does not define within-group order.
m_demo_mapping1,agg_TRANS,ACCT_STAT_CD,ACCT_STAT_CD,448,m_demo_mapping1.py:116,LOW,Aggregator pass-through is resolved as the highest-TX_ID row; XML does not define within-group order.
m_demo_mapping1,agg_TRANS,TX_DTTM,TX_DTTM,449,m_demo_mapping1.py:117,LOW,Aggregator pass-through is resolved as the highest-TX_ID row; XML does not define within-group order.
m_demo_mapping1,agg_TRANS,CR8_DT,CR8_DT,450,m_demo_mapping1.py:118,LOW,Aggregator pass-through is resolved as the highest-TX_ID row; XML does not define within-group order.
m_demo_mapping1,agg_TRANS,o_ACCT_ID,o_ACCT_ID,451,m_demo_mapping1.py:119,LOW,Aggregator pass-through is resolved as the highest-TX_ID row; XML does not define within-group order.
m_demo_mapping1,agg_TRANS,ACCT_ID,ACCT_ID,452,m_demo_mapping1.py:109,HIGH,Grouping/aggregate semantics are explicit and wrong grouping or sum changes baseline output.
m_demo_mapping1,agg_TRANS,o_acc_trim,o_acc_trim,453,m_demo_mapping1.py:120,LOW,Aggregator pass-through is resolved as the highest-TX_ID row; XML does not define within-group order.
m_demo_mapping1,agg_TRANS,o_TX_AMT,SUM(TX_AMT),454,m_demo_mapping1.py:112,HIGH,Grouping/aggregate semantics are explicit and wrong grouping or sum changes baseline output.
m_demo_mapping1,exp_TRANS1,FIRST_NM,FIRST_NM,463,m_demo_mapping1.py:96,HIGH,Explicit expression feeds a downstream target field.
m_demo_mapping1,exp_TRANS1,CLSR_DT,CLSR_DT,464,m_demo_mapping1.py:95,HIGH,Explicit expression feeds a downstream target field.
m_demo_mapping1,exp_TRANS1,TX_DTTM,TX_DTTM,465,m_demo_mapping1.py:95,HIGH,Explicit expression feeds a downstream target field.
m_demo_mapping1,exp_TRANS1,BAL_AMT,BAL_AMT,466,m_demo_mapping1.py:95,HIGH,Explicit expression feeds a downstream target field.
m_demo_mapping1,exp_TRANS1,ACCT_DESC,ACCT_DESC,467,m_demo_mapping1.py:95,HIGH,Explicit expression feeds a downstream target field.
m_demo_mapping1,exp_TRANS1,ACCT_TYP,ACCT_TYP,468,m_demo_mapping1.py:95,HIGH,Explicit expression feeds a downstream target field.
m_demo_mapping1,exp_TRANS1,ACCT_STAT_CD,ACCT_STAT_CD,469,m_demo_mapping1.py:95,HIGH,Explicit expression feeds a downstream target field.
m_demo_mapping1,exp_TRANS1,TX_ID,TX_ID,470,m_demo_mapping1.py:95,HIGH,Explicit expression feeds a downstream target field.
m_demo_mapping1,exp_TRANS1,LAST_NM,LAST_NM,471,m_demo_mapping1.py:95,HIGH,Explicit expression feeds a downstream target field.
m_demo_mapping1,exp_TRANS1,TX_AMT,TX_AMT,472,m_demo_mapping1.py:95,HIGH,Explicit expression feeds a downstream target field.
m_demo_mapping1,exp_TRANS1,ACCT_ID,ACCT_ID,473,m_demo_mapping1.py:95,HIGH,Explicit expression feeds a downstream target field.
m_demo_mapping1,exp_TRANS1,CR8_DT,CR8_DT,474,m_demo_mapping1.py:95,HIGH,Explicit expression feeds a downstream target field.
m_demo_mapping1,exp_TRANS1,o_acc_trim,o_acc_trim,475,m_demo_mapping1.py:95,HIGH,Explicit expression feeds a downstream target field.
