LEAD_CO_MNE,BRANCH_CO_MNE,MIS_DATE,ID,DESCRIPTION,SHORT_NAME
BNK02,BR946,2024-01-31,REC00001,General ledger account 001 REVISED,GL0001
BNK07,BR553,2024-01-31,REC00003,General ledger account 003 REVISED,GL0003
BNK06,BR457,2024-01-31,REC00005,General ledger account 005,GL0005
BNK04,BR356,2024-01-31,REC00006,General ledger account 006,GL0006
BNK08,BR156,2024-01-31,REC00008,General ledger account 008,GL0008
BNK06,BR429,2024-01-31,REC00012,General ledger account 012,GL0012
BNK01,BR636,2024-01-31,REC00014,General ledger account 014 REVISED,GL0014
BNK08,BR566,2024-01-31,REC00016,General ledger account 016,GL0016
BNK05,BR669,2024-01-31,REC00017,General ledger account 017 REVISED,GL0017
BNK06,BR749,2024-01-31,REC00019,General ledger account 019 REVISED,GL0019
BNK08,BR968,2024-01-31,REC00020,General ledger account 020 REVISED,GL0020
BNK06,BR137,2024-01-31,REC00021,General ledger account 021,GL0021
BNK02,BR151,2024-01-31,REC00022,General ledger account 022,GL0022
BNK07,BR710,2024-01-31,REC00023,General ledger account 023 REVISED,GL0023
BNK02,BR931,2024-01-31,REC00024,General ledger account 024,GL0024
BNK07,BR571,2024-01-31,REC00025,General ledger account 025,GL0025
BNK07,BR892,2024-01-31,REC00026,General ledger account 026,GL0026
BNK09,BR984,2024-01-31,REC00027,General ledger account 027 REVISED,GL0027
BNK03,BR836,2024-01-31,REC00028,General ledger account 028,GL0028
BNK05,BR320,2024-01-31,REC00029,General ledger account 029,GL0029
BNK08,BR221,2024-01-31,REC00030,General ledger account 030 REVISED,GL0030
BNK03,BR128,2024-01-31,REC00031,General ledger account 031 REVISED,GL0031
BNK09,BR842,2024-01-31,REC00033,General ledger account 033,GL0033
BNK09,BR909,2024-01-31,REC00034,General ledger account 034 REVISED,GL0034
BNK03,BR840,2024-01-31,REC00035,General ledger account 035,GL0035
BNK01,BR981,2024-01-31,REC00037,General ledger account 037,GL0037
BNK01,BR974,2024-01-31,REC00038,General ledger account 038 REVISED,GL0038
BNK07,BR550,2024-01-31,REC00040,General ledger account 040 REVISED,GL0040
BNK06,BR489,2024-01-31,REC00041,General ledger account 041 REVISED,GL0041
BNK07,BR673,2024-01-31,REC00043,General ledger account 043,GL0043
BNK04,BR906,2024-01-31,REC00044,General ledger account 044,GL0044
BNK09,BR919,2024-01-31,REC00045,General ledger account 045,GL0045
BNK06,BR981,2024-01-31,REC00047,General ledger account 047 REVISED,GL0047
BNK03,BR542,2024-01-31,REC00048,General ledger account 048 REVISED,GL0048
BNK08,BR938,2024-01-31,REC00049,General ledger account 049 REVISED,GL0049
BNK09,BR965,2024-01-31,REC00051,General ledger account 051 REVISED,GL0051
BNK02,BR277,2024-01-31,REC00053,General ledger account 053,GL0053
BNK04,BR262,2024-01-31,REC00054,General ledger account 054 REVISED,GL0054
BNK05,BR301,2024-01-31,REC00056,General ledger account 056,GL0056
BNK05,BR628,2024-01-31,REC00057,General ledger account 057 REVISED,GL0057
BNK07,BR684,2024-01-31,REC00058,General ledger account 058,GL0058
BNK07,BR654,2024-01-31,REC00059,General ledger account 059,GL0059
BNK07,BR814,2024-01-31,REC00060,General ledger account 060,GL0060
BNK02,BR990,2024-01-31,REC00061,General ledger account 061,GL0061
BNK06,BR148,2024-01-31,REC00062,General ledger account 062,GL0062
BNK02,BR470,2024-01-31,REC00063,General ledger account 063,GL0063
BNK03,BR627,2024-01-31,REC00064,General ledger account 064,GL0064
BNK02,BR291,2024-01-31,REC00065,General ledger account 065,GL0065
BNK02,BR656,2024-01-31,REC00066,General ledger account 066,GL0066
BNK08,BR711,2024-01-31,REC00067,General ledger account 067,GL0067
BNK05,BR151,2024-01-31,REC00068,General ledger account 068,GL0068
BNK09,BR768,2024-01-31,REC00069,General ledger account 069,GL0069
BNK05,BR834,2024-01-31,REC00070,General ledger account 070,GL0070
BNK07,BR902,2024-01-31,REC00071,General ledger account 071,GL0071
BNK04,BR548,2024-01-31,REC00072,General ledger account 072,GL0072
BNK07,BR755,2024-01-31,REC00073,General ledger account 073,GL0073
BNK05,BR313,2024-01-31,REC00074,General ledger account 074,GL0074
BNK01,BR757,2024-01-31,REC00075,General ledger account 075,GL0075
BNK09,BR126,2024-01-31,REC00076,General ledger account 076,GL0076
BNK07,BR537,2024-01-31,REC00077,General ledger account 077,GL0077
BNK01,BR393,2024-01-31,REC00078,General ledger account 078,GL0078
BNK05,BR588,2024-01-31,REC00079,General ledger account 079,GL0079
BNK02,BR940,2024-01-31,REC00080,General ledger account 080,GL0080
BNK07,BR857,2024-01-31,REC00081,General ledger account 081,GL0081
BNK02,BR576,2024-01-31,REC00082,General ledger account 082,GL0082
BNK05,BR990,2024-01-31,REC00083,General ledger account 083,GL0083
BNK01,BR819,2024-01-31,REC00084,General ledger account 084,GL0084
BNK01,BR870,2024-01-31,REC00085,General ledger account 085,GL0085
BNK01,BR117,2024-01-31,REC00086,General ledger account 086,GL0086
BNK08,BR370,2024-01-31,REC00087,General ledger account 087,GL0087
BNK06,BR127,2024-01-31,REC00088,General ledger account 088,GL0088
BNK04,BR648,2024-01-31,REC00089,General ledger account 089,GL0089
BNK05,BR789,2024-01-31,REC00090,General ledger account 090,GL0090
BNK01,BR568,2024-01-31,REC00091,General ledger account 091,GL0091
BNK05,BR659,2024-01-31,REC00092,General ledger account 092,GL0092
BNK03,BR864,2024-01-31,REC00093,General ledger account 093,GL0093
BNK02,BR751,2024-01-31,REC00094,General ledger account 094,GL0094
BNK01,BR296,2024-01-31,REC00095,General ledger account 095,GL0095
BNK01,BR128,2024-01-31,REC00096,General ledger account 096,GL0096
BNK05,BR117,2024-01-31,REC00097,General ledger account 097,GL0097
BNK01,BR906,2024-01-31,REC00098,General ledger account 098,GL0098
BNK02,BR711,2024-01-31,REC00099,General ledger account 099,GL0099
BNK02,BR105,2024-01-31,REC00100,General ledger account 100,GL0100
BNK02,BR275,2024-01-31,REC00101,General ledger account 101,GL0101
BNK04,BR519,2024-01-31,REC00102,General ledger account 102,GL0102
BNK03,BR510,2024-01-31,REC00103,General ledger account 103,GL0103
BNK04,BR953,2024-01-31,REC00104,General ledger account 104,GL0104
BNK03,BR332,2024-01-31,REC00105,General ledger account 105,GL0105
BNK03,BR183,2024-01-31,REC00106,General ledger account 106,GL0106
BNK01,BR468,2024-01-31,REC00107,General ledger account 107,GL0107
BNK08,BR809,2024-01-31,REC00108,General ledger account 108,GL0108
BNK02,BR395,2024-01-31,REC00109,General ledger account 109,GL0109
BNK08,BR716,2024-01-31,REC00110,General ledger account 110,GL0110
BNK09,BR410,2024-01-31,REC00111,General ledger account 111,GL0111
BNK08,BR360,2024-01-31,REC00112,General ledger account 112,GL0112
BNK06,BR100,2024-01-31,REC00113,General ledger account 113,GL0113
BNK01,BR645,2024-01-31,REC00114,General ledger account 114,GL0114
BNK04,BR510,2024-01-31,REC00115,General ledger account 115,GL0115
BNK03,BR151,2024-01-31,REC00116,General ledger account 116,GL0116
BNK05,BR525,2024-01-31,REC00117,General ledger account 117,GL0117
BNK04,BR505,2024-01-31,REC00118,General ledger account 118,GL0118
BNK04,BR395,2024-01-31,REC00119,General ledger account 119,GL0119
BNK03,BR665,2024-01-31,REC00120,General ledger account 120,GL0120
BNK05,BR997,2024-01-31,REC00121,General ledger account 121,GL0121
BNK02,BR869,2024-01-31,REC00122,General ledger account 122,GL0122
BNK03,BR771,2024-01-31,REC00123,General ledger account 123,GL0123
