ACCT_ID,ACCT_TYP,ACCT_DESC,CRDT_LN,CR8_DT,CLSR_DT,ACCT_STAT_CD
1001,SB ,Account 1001 ledger  ,  8000,2023-08-18,2025-06-30,A
1002,CA,Account 1002 ledger,48000,2017-02-09,,D
1003,CA,Account 1003 ledger,7000,2023-12-11,,D
1004,SB,Account 1004 ledger,1000,2016-10-19,,A
1005,CA,Account 1005 ledger  ,26000,2021-02-25,2025-06-30,A
1006,CA,Account 1006 ledger,  16000,2019-07-13,,A
1007,SB ,Account 1007 ledger,36000,2020-03-21,,A
1008,CA,Account 1008 ledger,30000,2021-04-07,,C
1009,CA,Account 1009 ledger  ,7000,2022-11-16,2025-06-30,A
1010,,Account 1010 ledger,8000,2017-07-05,,C
1011,FD,Account 1011 ledger,  38000,2020-12-21,,A
1012,CA,Account 1012 ledger,7000,2016-02-20,,C
1013,SB ,Account 1013 ledger  ,24000,2015-09-02,2025-06-30,A
1014,FD,Account 1014 ledger,33000,2021-09-27,,A
1015,LN,Account 1015 ledger,44000,2020-01-02,,A
1016,SB,Account 1016 ledger,  12000,2015-11-14,,D
1017,FD,Account 1017 ledger  ,19000,2015-05-18,2025-06-30,D
1018,FD,Account 1018 ledger,12000,2021-04-23,,C
1019,SB ,Account 1019 ledger,46000,2021-01-14,,C
1020,,Account 1020 ledger,21000,2019-03-28,,D
1021,CA,Account 1021 ledger  ,  36000,2022-12-23,2025-06-30,D
1022,SB,Account 1022 ledger,44000,2016-11-27,,A
1023,CA,Account 1023 ledger,11000,2018-03-12,,C
1024,CA,Account 1024 ledger,30000,2017-08-26,,C
1025,SB ,Account 1025 ledger  ,46000,2022-11-28,2025-06-30,C
1026,LN,Account 1026 ledger,  21000,2019-05-18,,A
1027,LN,Account 1027 ledger,26000,2016-04-21,,D
1028,SB,Account 1028 ledger,27000,2016-02-07,,C
1029,FD,Account 1029 ledger  ,40000,2019-06-13,2025-06-30,D
1030,,Account 1030 ledger,31000,2016-11-17,,D
1031,SB ,Account 1031 ledger,  37000,2023-10-08,,C
1032,CA,Account 1032 ledger,33000,2020-03-06,,C
1033,FD,Account 1033 ledger  ,28000,2021-03-17,2025-06-30,A
1034,SB,Account 1034 ledger,9000,2016-09-28,,A
1035,CA,Account 1035 ledger,48000,2015-02-12,,D
1036,LN,Account 1036 ledger,  35000,2022-11-07,,A
1037,SB ,Account 1037 ledger  ,4000,2017-01-20,2025-06-30,C
1038,CA,Account 1038 ledger,12000,2023-01-10,,C
1039,FD,Account 1039 ledger,18000,2016-04-20,,D
1040,,Account 1040 ledger,7000,2019-05-15,,C
1041,FD,Account 1041 ledger  ,  43000,2017-03-20,2025-06-30,C
1042,LN,Account 1042 ledger,34000,2015-08-03,,D
1043,SB ,Account 1043 ledger,35000,2023-12-06,,A
1044,CA,Account 1044 ledger,43000,2015-07-09,,D
1045,CA,Account 1045 ledger  ,35000,2016-12-05,2025-06-30,D
1046,SB,Account 1046 ledger,  19000,2020-06-08,,C
1047,CA,Account 1047 ledger,26000,2018-08-02,,C
1048,CA,Account 1048 ledger,9000,2015-02-17,,C
1049,SB ,Account 1049 ledger  ,24000,2020-03-07,2025-06-30,D
1050,,Account 1050 ledger,43000,2022-01-21,,D
1051,CA,Account 1051 ledger,  13000,2018-11-05,,A
1052,SB,Account 1052 ledger,22000,2018-09-08,,D
1053,FD,Account 1053 ledger  ,43000,2016-01-06,2025-06-30,D
1054,CA,Account 1054 ledger,31000,2021-02-03,,C
1055,SB ,Account 1055 ledger,43000,2016-02-05,,D
1056,FD,Account 1056 ledger,  8000,2017-05-19,,D
1057,CA,Account 1057 ledger  ,5000,2016-05-18,2025-06-30,C
