PRODUCT_ID,PRODUCT_NM,PRODUCT_NO,COLOR,STD_COST,LIST_PRICE,SELL_ST_DT,SELL_ED_DT
PRD0001,Card Product 001,P001,Black,186,783,10/02/2020,17/07/2024
PRD0002,Card Product 002,P002,Black,908,737,11/07/2021,28/09/2025
PRD0003,Card Product 003,P003,Blue,161,351,03/05/2021,23/08/2025
PRD0004,Card Product 004,P004,Red,805,836,01/08/2020,20/01/2026
PRD0005,Card Product 005,P005,White,857,393,27/03/2022,12/06/2026
PRD0006,Card Product 006,P006,White,431,815,17/06/2022,20/01/2027
PRD0007,Card Product 007,P007,Blue,421,166,02/11/2020,09/09/2025
PRD0008,Card Product 008,P008,Red,506,113,10/03/2023,17/04/2024
PRD0009,Card Product 009,P009,Black,871,455,17/04/2020,08/04/2025
PRD0010,Card Product 010,P010,Black,816,271,08/01/2022,25/07/2025
PRD0011,Card Product 011,P011,Silver,233,303,17/04/2021,01/11/2027
PRD0012,Card Product 012,P012,White,750,951,26/10/2022,27/11/2024
PRD0013,Card Product 013,P013,Red,907,303,05/05/2023,28/03/2025
PRD0014,Card Product 014,P014,Blue,73,641,25/11/2022,06/07/2024
PRD0015,Card Product 015,P015,Silver,554,164,19/07/2022,22/12/2024
PRD0016,Card Product 016,P016,Red,271,788,03/01/2022,12/09/2025
PRD0017,Card Product 017,P017,Black,905,199,19/08/2023,03/04/2026
PRD0018,Card Product 018,P018,White,157,900,25/12/2020,12/12/2024
PRD0019,Card Product 019,P019,Black,492,876,11/04/2020,22/10/2025
PRD0020,Card Product 020,P020,Blue,703,978,16/02/2020,07/05/2024
PRD0021,Card Product 021,P021,Green,939,967,22/08/2020,13/06/2025
PRD0022,Card Product 022,P022,Red,291,160,03/03/2022,06/01/2025
PRD0023,Card Product 023,P023,White,961,561,19/03/2022,12/10/2025
PRD0024,Card Product 024,P024,Blue,643,828,08/03/2022,20/12/2026
PRD0025,Card Product 025,P025,Red,18,265,23/12/2022,23/06/2024
PRD0026,Card Product 026,P026,Silver,188,514,13/11/2021,11/03/2024
PRD0027,Card Product 027,P027,Blue,379,633,23/09/2022,04/08/2026
PRD0028,Card Product 028,P028,Black,312,709,27/10/2021,18/02/2025
PRD0029,Card Product 029,P029,Silver,935,970,20/03/2023,21/11/2024
PRD0030,Card Product 030,P030,Green,728,647,07/12/2021,20/02/2025
PRD0031,Card Product 031,P031,Red,309,984,20/06/2020,12/06/2026
PRD0032,Card Product 032,P032,White,492,730,16/03/2020,26/09/2024
PRD0033,Card Product 033,P033,Silver,486,580,07/12/2023,18/12/2024
PRD0034,Card Product 034,P034,Green,529,229,17/11/2023,13/07/2024
PRD0035,Card Product 035,P035,Red,488,324,27/12/2023,22/02/2026
PRD0036,Card Product 036,P036,Blue,247,588,10/02/2022,14/12/2025
PRD0037,Card Product 037,P037,Blue,84,445,03/12/2020,20/02/2025
PRD0038,Card Product 038,P038,Blue,945,845,18/09/2022,23/05/2025
PRD0039,Card Product 039,P039,Red,783,387,22/02/2021,28/07/2027
PRD0040,Card Product 040,P040,Silver,984,129,12/08/2021,01/04/2025
PRD0041,Card Product 041,P041,Green,385,101,15/11/2020,06/05/2027
PRD0042,Card Product 042,P042,Red,27,435,10/04/2023,19/06/2026
PRD0043,Card Product 043,P043,White,981,311,01/05/2020,25/10/2026
PRD0044,Card Product 044,P044,Black,396,793,20/06/2023,07/02/2025
PRD0045,Card Product 045,P045,Silver,727,133,04/11/2022,07/08/2027
PRD0046,Card Product 046,P046,White,64,518,07/08/2020,16/03/2027
PRD0047,Card Product 047,P047,Green,880,688,14/06/2020,28/02/2026
PRD0048,Card Product 048,P048,Blue,218,554,26/11/2020,07/08/2025
PRD0049,Card Product 049,P049,Green,337,253,15/03/2023,05/03/2026
PRD0050,Card Product 050,P050,Blue,616,460,02/11/2021,18/01/2027
