Key,LEAD_CO_MNE,BRANCH_CO_MNE,MIS_DATE,ID,DESCRIPTION,SHORT_NAME,CREATED_BY,CREATED_TIME,UPDATED_BY,UPDATED_TIME,ACTIVE_FLAG,START_DATE,END_DATE
1,BNK02,BR946,2023-12-31,REC00001,General ledger account 001,GL0001,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
2,BNK03,BR947,2023-12-31,REC00002,General ledger account 002,GL0002,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
3,BNK07,BR553,2023-12-31,REC00003,General ledger account 003,GL0003,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
4,BNK01,BR813,2023-12-31,REC00004,General ledger account 004,GL0004,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
5,BNK06,BR457,2023-12-31,REC00005,General ledger account 005,GL0005,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
6,BNK04,BR356,2023-12-31,REC00006,General ledger account 006,GL0006,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
7,BNK03,BR416,2023-12-31,REC00007,General ledger account 007,GL0007,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
8,BNK08,BR156,2023-12-31,REC00008,General ledger account 008,GL0008,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
9,BNK08,BR157,2023-12-31,REC00009,General ledger account 009,GL0009,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
10,BNK04,BR955,2023-12-31,REC00010,General ledger account 010,GL0010,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
11,BNK07,BR309,2023-12-31,REC00011,General ledger account 011,GL0011,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
12,BNK06,BR429,2023-12-31,REC00012,General ledger account 012,GL0012,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
13,BNK03,BR567,2023-12-31,REC00013,General ledger account 013,GL0013,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
14,BNK01,BR636,2023-12-31,REC00014,General ledger account 014,GL0014,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
