CUST_ID,CRDT_SCORE,MAX_CRDT_SCORE,MIN_CRDT_SCORE,MAX_CRDT_LMT,CURR_CRDT_BAL_AMT,AVG_INC_AMT
70000,699,741,657,182000,21143.19,10527.8
70001,435,470,421,138000,26422.6,11326.72
70002,677,700,653,86000,23474.97,6015.99
70003,626,635,618,88000,31656.74,2913.69
70004,387,398,377,48000,64311.31,20114.11
70005,702,739,679,157000,68141.56,6392.84
70006,460,511,428,111000,25808.28,12705.06
70007,640,684,626,126000,78719.37,15330.63
70008,453,454,452,39000,7163.39,18076.19
70009,756,806,711,24000,52023.83,19724.34
70010,518,544,498,21000,35048.93,22560.0
70011,641,653,625,30000,59077.13,7868.94
70012,355,403,326,38000,5054.77,12892.56
70013,650,683,632,167000,23470.75,20763.56
70014,550,572,505,179000,23125.49,10077.11
70015,658,674,638,123000,40772.85,8841.06
70016,565,570,548,56000,64253.76,19176.95
70017,726,768,720,22000,19946.36,22091.1
70018,371,420,353,96000,15235.3,20321.69
70019,773,810,766,46000,33405.5,23298.34
70020,369,378,344,51000,57624.69,4642.99
70021,796,825,788,196000,75458.7,9979.04
70022,704,706,672,163000,71474.27,16165.9
70023,332,335,300,27000,1496.72,10087.56
70024,739,798,719,153000,66863.56,18754.96
70025,538,581,506,83000,78955.02,19693.32
70026,300,339,300,23000,9730.32,20126.75
70027,454,511,413,173000,25977.6,18091.48
70028,530,543,527,38000,10771.35,24336.63
70029,751,809,714,158000,19825.64,18439.08
70030,314,342,300,25000,79084.72,6833.98
70031,637,649,596,68000,14800.8,19919.32
70032,723,778,682,141000,53062.13,16261.18
70033,488,512,443,155000,54603.98,14679.94
70034,344,367,318,31000,12868.21,21522.14
70035,823,850,820,58000,77091.25,9609.74
70036,398,431,379,174000,20183.4,2562.18
70037,689,744,673,167000,45804.04,7364.78
70038,586,592,561,179000,13948.65,21001.21
70039,608,626,570,72000,79244.99,16666.08
70040,474,492,445,170000,21219.14,19695.98
70041,519,575,471,105000,22064.02,9092.17
70042,391,448,351,124000,46903.51,8226.42
70043,387,438,376,35000,26116.96,9834.15
70044,712,751,657,144000,22087.97,3685.66
70045,679,734,644,40000,31263.39,8251.47
70046,711,765,656,86000,24311.09,3604.99
70047,318,335,312,99000,37641.57,19065.0
70048,481,485,421,174000,27529.56,21169.1
70049,382,398,326,132000,40953.38,18404.5
70050,348,384,322,114000,18605.69,6130.72
70051,436,440,384,58000,63554.6,18525.9
70052,377,418,341,180000,4463.66,17331.32
70053,371,400,358,66000,62748.15,10975.87
70054,578,603,521,10000,21122.32,10593.16
70055,653,672,638,198000,21082.89,16618.76
70056,393,424,350,57000,67605.23,15084.66
70057,814,836,782,196000,74626.6,7777.43
70058,574,632,568,146000,10373.16,18679.83
70059,746,758,696,38000,17383.85,22464.11
70060,701,739,659,112000,48933.8,7785.29
70061,827,850,784,69000,66081.2,7688.0
70062,340,376,334,73000,38780.87,4054.85
70063,544,568,514,39000,49402.1,21279.85
70064,580,601,520,69000,24755.6,22184.84
70065,743,792,741,13000,30410.1,10222.6
70066,784,803,768,89000,3550.57,21519.55
70067,583,614,578,153000,57979.53,7824.35
70068,315,358,300,106000,6946.5,13750.0
70069,625,656,574,49000,75933.87,17687.96
70070,631,652,581,158000,12690.31,3000.16
70071,321,364,300,163000,46310.32,8355.75
70072,508,514,499,76000,30160.66,17832.98
70073,565,610,542,127000,42923.89,14146.3
70074,460,518,454,199000,61676.84,4829.51
70075,736,743,718,183000,79688.02,11777.35
70076,819,850,802,176000,53661.99,18058.63
70077,690,693,644,46000,37736.26,21962.26
70078,676,679,629,126000,71646.13,23574.18
70079,611,621,611,72000,32436.61,15624.76
70080,802,832,777,161000,65788.54,21405.95
70081,745,764,736,70000,78080.23,12926.28
70082,668,707,647,69000,13045.58,22107.37
70083,522,561,492,20000,79788.22,10188.98
70084,658,710,618,138000,38874.32,12374.03
70085,339,386,300,192000,40432.77,12230.38
70086,803,839,771,9000,18175.45,7884.87
70087,430,452,389,45000,15381.21,10540.22
70088,369,399,342,31000,60143.45,15334.04
70089,562,563,531,95000,62942.39,22004.21
