ACCT_ID,TX_TYPE_CD,TX_TYPE_DESC
1001,DR,Credit posting
1002,TR,Debit posting
1003,DR,Debit posting
1004,DR,Debit posting
1005,DR,Credit posting
1006,DR,Debit posting
1007,CR,Transfer posting
1008,DR,Debit posting
1009,CR,Credit posting
1010,TR,Transfer posting
1011,CR,Debit posting
1012,CR,Debit posting
1013,DR,Credit posting
1014,DR,Transfer posting
1015,DR,Credit posting
1016,TR,Debit posting
1017,DR,Transfer posting
1018,CR,Debit posting
1019,TR,Credit posting
1020,CR,Transfer posting
1021,CR,Credit posting
1022,DR,Debit posting
1023,CR,Debit posting
1024,TR,Debit posting
1025,CR,Debit posting
1026,CR,Credit posting
1027,TR,Transfer posting
1028,CR,Debit posting
1029,CR,Debit posting
1030,TR,Transfer posting
1031,CR,Transfer posting
1032,TR,Debit posting
1033,TR,Credit posting
1034,CR,Credit posting
1035,CR,Debit posting
1036,TR,Debit posting
1037,DR,Transfer posting
1038,CR,Transfer posting
1039,CR,Credit posting
1040,DR,Transfer posting
1041,DR,Transfer posting
1042,CR,Transfer posting
1043,TR,Credit posting
1044,DR,Credit posting
1045,CR,Transfer posting
1046,TR,Transfer posting
1047,TR,Transfer posting
1048,TR,Credit posting
1049,TR,Credit posting
1050,TR,Credit posting
1051,TR,Credit posting
1052,TR,Credit posting
1053,TR,Transfer posting
1054,TR,Transfer posting
1055,DR,Debit posting
1056,DR,Transfer posting
1057,DR,Transfer posting
1058,DR,Credit posting
1059,TR,Debit posting
1060,CR,Transfer posting
1061,CR,Transfer posting
1062,TR,Debit posting
1063,DR,Debit posting
1064,CR,Credit posting
1065,DR,Debit posting
1066,CR,Credit posting
1067,CR,Debit posting
1068,TR,Credit posting
1069,DR,Credit posting
1070,CR,Debit posting
1071,DR,Debit posting
1072,DR,Credit posting
1073,CR,Credit posting
1074,CR,Credit posting
1075,CR,Credit posting
1076,CR,Debit posting
1077,TR,Debit posting
1078,DR,Transfer posting
1079,TR,Debit posting
1080,TR,Transfer posting
1081,TR,Credit posting
1082,TR,Transfer posting
1083,TR,Debit posting
1084,CR,Credit posting
1085,TR,Debit posting
1086,TR,Transfer posting
1087,TR,Transfer posting
1088,DR,Debit posting
1089,DR,Debit posting
1090,CR,Debit posting
1091,CR,Debit posting
1092,CR,Credit posting
1093,TR,Credit posting
1094,CR,Transfer posting
1095,TR,Transfer posting
1096,DR,Debit posting
1097,TR,Transfer posting
1098,TR,Credit posting
1099,CR,Transfer posting
1100,CR,Debit posting
1101,TR,Debit posting
1102,TR,Credit posting
1103,CR,Credit posting
1104,CR,Transfer posting
1105,DR,Credit posting
1106,TR,Transfer posting
1107,DR,Debit posting
1108,TR,Transfer posting
1109,CR,Debit posting
1110,TR,Transfer posting
1111,TR,Credit posting
1112,TR,Credit posting
1113,TR,Credit posting
1114,DR,Credit posting
1115,TR,Transfer posting
1116,TR,Transfer posting
1117,DR,Transfer posting
1118,CR,Debit posting
1119,DR,Debit posting
1120,DR,Transfer posting
1121,CR,Debit posting
1122,TR,Transfer posting
1123,TR,Transfer posting
1124,CR,Credit posting
1125,CR,Transfer posting
