CLAIM_ID,POLICY_ID,CLAIMANT_ID,LOSS_DATE,REPORTED_DATE,CLAIMED_AMOUNT,CAUSE_CODE,DESCRIPTION
FC0000001,P0000098,CM000056,28AUG2023,31JAN2024,49000.00,WIND,OTHER loss reported ref 803014
FC0000002,P0000071,CM000297,20AUG2023,31JAN2024,19417.57,LIAB,FIRE loss reported ref 881097
FC0000003,PX000003,CM000073,09DEC2023,31JAN2024,10156.27,MED,FIRE loss reported ref 967034
FC0000004,P0000184,CM000250,29JAN2024,31JAN2024,49000.00,MED,LIAB loss reported ref 759187
FC0000005,P0000168,CM000296,03DEC2023,31JAN2024,191742.51,COLL,OTHER loss reported ref 882176
FC0000006,P0000281,CM000315,31AUG2023,31JAN2024,3413.54,WIND,FIRE loss reported ref 824425
FC0000007,P0000303,CM000042,04DEC2022,31JAN2024,18729.02,LIAB,OTHER loss reported ref 607758
FC0000008,P0000105,CM000368,24FEB2021,31JAN2024,6751.43,LIAB,THEFT loss reported ref 503283
FC0000009,P0000283,CM000308,05OCT2023,31JAN2024,17376.67,THEFT,WATER loss reported ref 822352
FC0000010,P0000076,CM000384,28DEC2023,31JAN2024,46082.80,FIRE,THEFT loss reported ref 733030
FC0000011,P0000059,CM000372,19JAN2024,31JAN2024,28825.99,COMP,MED loss reported ref 824387
FC0000012,PX000012,CM000166,19DEC2023,31JAN2024,5072.14,WIND,WIND loss reported ref 897775
FC0000013,P0000221,CM000350,30JAN2024,31JAN2024,49000.00,WATER,WATER loss reported ref 935669
FC0000014,P0000301,CM000364,24JAN2024,31JAN2024,3259.64,COLL,WATER loss reported ref 639374
FC0000015,P0000266,CM000293,22JAN2024,31JAN2024,4687.90,WATER,LIAB loss reported ref 190479
FC0000016,P0000158,CM000255,15DEC2023,31JAN2024,182.34,WATER,COMP loss reported ref 756093
FC0000017,P0000050,CM000303,30APR2023,31JAN2024,11251.50,COLL,COMP loss reported ref 415718
FC0000018,P0000209,CM000308,17SEP2023,31JAN2024,49000.00,THEFT,COMP loss reported ref 992522
FC0000019,P0000292,CM000322,09JAN2024,31JAN2024,8344.06,OTHER,WATER loss reported ref 945240
FC0000020,PX000020,CM000254,13JAN2024,31JAN2024,12362.77,COLL,COLL loss reported ref 818414
FC0000021,P0000046,CM000341,31DEC2023,31JAN2024,41233.26,MED,MED loss reported ref 421224
FC0000022,P0000155,CM000282,23DEC2023,31JAN2024,6816.67,THEFT,WIND loss reported ref 951295
FC0000023,PX000023,CM000032,18JAN2024,31JAN2024,13964.18,MED,THEFT loss reported ref 633233
FC0000024,P0000312,CM000352,13SEP2023,31JAN2024,48000.00,COMP,WIND loss reported ref 420627
FC0000025,P0000052,CM000171,23JAN2024,31JAN2024,78415.59,FIRE,MED loss reported ref 413051
FC0000026,P0000036,CM000155,26JAN2024,31JAN2024,2118.99,WIND,WIND loss reported ref 558894
FC0000027,P0000059,CM000328,26DEC2023,31JAN2024,4929.18,FIRE,COLL loss reported ref 966771
FC0000028,P0000049,CM000360,25DEC2023,31JAN2024,45920.98,FIRE,MED loss reported ref 269600
FC0000029,P0000313,CM000290,03APR2023,31JAN2024,17902.15,OTHER,OTHER loss reported ref 311228
FC0000030,P0000268,CM000397,15NOV2023,31JAN2024,49000.00,WATER,MED loss reported ref 127877
FC0000031,P0000055,CM000087,15JAN2024,31JAN2024,745161.84,LIAB,FIRE loss reported ref 959498
FC0000032,P0000111,CM000025,07MAR2022,31JAN2024,11768.57,WIND,LIAB loss reported ref 155655
FC0000033,P0000140,CM000393,15OCT2023,31JAN2024,1655.74,THEFT,COMP loss reported ref 165249
FC0000034,P0000067,CM000190,04JAN2024,31JAN2024,8024.34,COLL,COMP loss reported ref 177282
FC0000035,P0000012,CM000057,20NOV2023,31JAN2024,410.40,FIRE,THEFT loss reported ref 549642
FC0000036,P0000082,CM000379,04AUG2023,31JAN2024,15857.22,COMP,COLL loss reported ref 329624
FC0000037,P0000138,CM000055,10NOV2023,31JAN2024,3542.08,LIAB,COLL loss reported ref 937556
FC0000038,P0000047,CM000062,06NOV2023,31JAN2024,50859.11,MED,LIAB loss reported ref 480208
FC0000039,P0000055,CM000133,06JAN2024,31JAN2024,4024.41,FIRE,THEFT loss reported ref 667786
FC0000040,P0000050,CM000268,05JUN2023,31JAN2024,17782.51,OTHER,MED loss reported ref 505909
FC0000041,P0000074,CM000162,22AUG2022,31JAN2024,8157.98,FIRE,OTHER loss reported ref 633134
FC0000042,P0000279,CM000380,06AUG2023,31JAN2024,265547.14,MED,COMP loss reported ref 322612
FC0000043,P0000153,CM000188,26DEC2023,31JAN2024,13604.02,WIND,FIRE loss reported ref 218431
FC0000044,P0000189,CM000391,03JAN2021,31JAN2024,14859.31,THEFT,WIND loss reported ref 344961
FC0000045,P0000273,CM000129,13JAN2024,31JAN2024,4462.12,FIRE,WIND loss reported ref 578891
FC0000046,P0000006,CM000039,16NOV2021,31JAN2024,16256.34,LIAB,WIND loss reported ref 119790
FC0000047,P0000307,CM000021,09JAN2024,31JAN2024,87959.08,MED,WATER loss reported ref 405519
FC0000048,P0000303,CM000329,13JAN2024,31JAN2024,48000.00,MED,COLL loss reported ref 350948
FC0000049,P0000114,CM000310,23DEC2023,31JAN2024,47858.04,THEFT,OTHER loss reported ref 178232
FC0000050,PX000050,CM000260,30DEC2023,31JAN2024,9882.52,WIND,MED loss reported ref 580622
FC0000051,P0000010,CM000090,10JAN2024,31JAN2024,3528.40,MED,WATER loss reported ref 594988
FC0000052,P0000254,CM000299,19OCT2023,31JAN2024,14115.68,WIND,LIAB loss reported ref 637305
FC0000053,P0000312,CM000257,20DEC2023,31JAN2024,48000.00,THEFT,FIRE loss reported ref 284387
FC0000054,P0000155,CM000220,14JAN2024,31JAN2024,15648.83,COMP,WATER loss reported ref 806636
FC0000055,P0000245,CM000077,22DEC2023,31JAN2024,49000.00,WATER,FIRE loss reported ref 805676
FC0000056,P0000242,CM000130,02SEP2023,31JAN2024,2335627.06,OTHER,THEFT loss reported ref 985220
FC0000057,P0000141,CM000378,28NOV2023,31JAN2024,244038.14,COMP,MED loss reported ref 182908
FC0000058,P0000163,CM000108,04DEC2023,31JAN2024,463.63,COLL,THEFT loss reported ref 775074
FC0000059,PX000059,CM000119,25JAN2024,31JAN2024,9549.89,OTHER,COLL loss reported ref 300829
FC0000060,P0000242,CM000333,29DEC2023,31JAN2024,49000.00,COLL,WIND loss reported ref 962717
FC0000061,P0000313,CM000325,03APR2023,31JAN2024,9054.51,THEFT,OTHER loss reported ref 498998
FC0000062,P0000140,CM000290,18NOV2023,31JAN2024,595.62,WIND,OTHER loss reported ref 585365
FC0000063,P0000068,CM000033,26DEC2021,31JAN2024,12074.01,FIRE,COLL loss reported ref 184166
FC0000064,P0000026,CM000075,01DEC2023,31JAN2024,254.71,COMP,THEFT loss reported ref 232781
FC0000065,P0000193,CM000297,15JAN2024,31JAN2024,6061.23,FIRE,MED loss reported ref 437672
FC0000066,P0000081,CM000311,24SEP2023,31JAN2024,4701.28,FIRE,WIND loss reported ref 705517
FC0000067,P0000317,CM000244,07SEP2023,31JAN2024,37905.32,OTHER,LIAB loss reported ref 179422
FC0000068,P0000279,CM000173,29DEC2023,31JAN2024,44554.18,COMP,WATER loss reported ref 539094
FC0000069,P0000279,CM000368,20DEC2023,31JAN2024,152778.78,WATER,COMP loss reported ref 934997
FC0000070,P0000197,CM000165,25OCT2023,31JAN2024,1817.43,WIND,WATER loss reported ref 690023
FC0000071,P0000060,CM000315,21SEP2023,31JAN2024,15851.01,WIND,COLL loss reported ref 409446
FC0000072,P0000292,CM000017,06NOV2023,31JAN2024,4998.13,LIAB,COMP loss reported ref 662532
FC0000073,P0000170,CM000371,15FEB2022,31JAN2024,1279.10,FIRE,FIRE loss reported ref 761462
FC0000074,P0000138,CM000187,15AUG2023,31JAN2024,10395.58,THEFT,WIND loss reported ref 500590
FC0000075,PX000075,CM000276,03JAN2024,31JAN2024,9697.73,WATER,THEFT loss reported ref 522420
FC0000076,P0000171,CM000388,05SEP2023,31JAN2024,4865.62,FIRE,COLL loss reported ref 206666
FC0000077,P0000160,CM000279,16JAN2024,31JAN2024,26900.27,MED,WATER loss reported ref 778080
FC0000078,P0000080,CM000114,07OCT2023,31JAN2024,49000.00,WATER,COLL loss reported ref 884175
FC0000079,P0000096,CM000082,21DEC2023,31JAN2024,4411.11,COMP,COLL loss reported ref 587577
FC0000080,P0000206,CM000170,18OCT2023,31JAN2024,48000.00,COMP,LIAB loss reported ref 646721
FC0000081,P0000194,CM000220,04AUG2020,31JAN2024,5145.72,LIAB,LIAB loss reported ref 564392
