POLICY_ID,CLAIMANT_ID,FRAUD_SCORE,INDICATOR_FLAGS
P0000001,CM000368,55,AGENT_FLAG
P0000001,CM000392,38,
P0000003,CM000296,38,
P0000010,CM000090,92,PRIOR_CLAIMS|DUP_INVOICE
P0000011,CM000047,29,
P0000011,CM000300,95,EARLY_CLAIM|ADDR_MISMATCH|AGENT_FLAG
P0000012,CM000031,23,
P0000012,CM000057,8,
P0000012,CM000110,36,
P0000012,CM000187,50,WATCHLIST
P0000016,CM000382,59,DUP_INVOICE
P0000024,CM000257,82,EARLY_CLAIM|WATCHLIST|ADDR_MISMATCH
P0000025,CM000337,94,STAGED_LOSS|PRIOR_CLAIMS
P0000026,CM000075,72,PRIOR_CLAIMS
P0000026,CM000143,82,DUP_INVOICE|AGENT_FLAG
P0000030,CM000083,78,AGENT_FLAG
P0000035,CM000239,63,AGENT_FLAG
P0000035,CM000342,94,WATCHLIST|PRIOR_CLAIMS|AGENT_FLAG
P0000036,CM000392,66,STAGED_LOSS
P0000038,CM000254,17,
P0000044,CM000325,73,AGENT_FLAG
P0000046,CM000341,74,PRIOR_CLAIMS
P0000049,CM000360,27,
P0000050,CM000268,7,
P0000056,CM000349,74,PRIOR_CLAIMS
P0000059,CM000341,86,PRIOR_CLAIMS|DUP_INVOICE
P0000060,CM000315,63,DUP_INVOICE
P0000066,CM000243,93,EARLY_CLAIM|WATCHLIST
P0000066,CM000280,27,
P0000068,CM000396,80,STAGED_LOSS|ADDR_MISMATCH
P0000069,CM000299,13,
P0000069,CM000327,10,
P0000070,CM000114,19,
P0000072,CM000287,78,AGENT_FLAG
P0000076,CM000384,75,WATCHLIST
P0000081,CM000081,29,
P0000082,CM000379,45,
P0000083,CM000078,19,
P0000096,CM000082,66,STAGED_LOSS
P0000098,CM000349,33,
P0000101,CM000005,52,PRIOR_CLAIMS
P0000105,CM000368,59,PRIOR_CLAIMS
P0000114,CM000310,94,EARLY_CLAIM|WATCHLIST
P0000125,CM000134,25,
P0000125,CM000302,23,
P0000138,CM000055,92,AGENT_FLAG|DUP_INVOICE
P0000138,CM000187,85,PRIOR_CLAIMS|DUP_INVOICE
P0000140,CM000030,97,EARLY_CLAIM|DUP_INVOICE
P0000140,CM000393,65,STAGED_LOSS
P0000141,CM000378,27,
P0000146,CM000162,82,PRIOR_CLAIMS|EARLY_CLAIM|ADDR_MISMATCH
P0000147,CM000257,19,
P0000153,CM000247,72,WATCHLIST
P0000160,CM000279,27,
P0000164,CM000166,91,WATCHLIST|DUP_INVOICE
P0000168,CM000296,68,ADDR_MISMATCH
P0000180,CM000112,31,
P0000187,CM000269,92,DUP_INVOICE|AGENT_FLAG|EARLY_CLAIM
P0000187,CM000338,60,WATCHLIST
P0000189,CM000391,54,ADDR_MISMATCH
P0000191,CM000027,36,
P0000193,CM000297,43,
P0000196,CM000228,35,
P0000197,CM000165,48,
P0000212,CM000274,18,
P0000216,CM000102,48,
P0000217,CM000112,28,
P0000217,CM000251,76,DUP_INVOICE
P0000218,CM000286,23,
P0000221,CM000139,7,
P0000225,CM000032,43,
P0000242,CM000238,55,ADDR_MISMATCH
P0000252,CM000027,23,
P0000254,CM000085,61,WATCHLIST
P0000259,CM000362,73,ADDR_MISMATCH
P0000263,CM000078,72,AGENT_FLAG
P0000263,CM000189,92,ADDR_MISMATCH|STAGED_LOSS|DUP_INVOICE
P0000266,CM000014,65,ADDR_MISMATCH
P0000266,CM000136,10,
P0000266,CM000293,53,ADDR_MISMATCH
P0000268,CM000170,16,
P0000268,CM000226,13,
P0000268,CM000397,57,PRIOR_CLAIMS
P0000274,CM000308,15,
P0000279,CM000368,73,ADDR_MISMATCH
P0000281,CM000315,93,DUP_INVOICE|WATCHLIST|PRIOR_CLAIMS
P0000285,CM000159,19,
P0000292,CM000320,32,
P0000301,CM000108,92,ADDR_MISMATCH|DUP_INVOICE
P0000303,CM000042,76,EARLY_CLAIM
P0000308,CM000212,72,STAGED_LOSS
P0000312,CM000257,96,WATCHLIST|EARLY_CLAIM|PRIOR_CLAIMS
P0000312,CM000352,45,
P0000314,CM000307,29,
P0000317,CM000244,74,AGENT_FLAG
PX000003,CM000073,32,
PX000012,CM000166,59,PRIOR_CLAIMS
PX000023,CM000032,16,
PX000095,CM000279,18,
PX000145,CM000166,51,DUP_INVOICE
PX000198,CM000097,97,STAGED_LOSS|ADDR_MISMATCH|AGENT_FLAG
PX000251,CM000340,11,
