POLICY_ID,CUSTOMER_ID,POLICY_TYPE,STATUS,EFFECTIVE_DATE,EXPIRATION_DATE,ANNUAL_PREMIUM,SUM_INSURED,DEDUCTIBLE,RISK_CATEGORY,UNDERWRITING_CLASS,AGENT_ID,BRANCH_CODE
P0000001,C0000173,AUTO,ACTIVE,18OCT2021,25MAR2024,2562.59,69500.00,5000.00,PREF,UW2,AG0020,BR016
P0000002,C0000033,AUTO,LAPSED,17JUN2021,17JUN2022,669.38,49000.00,1000.00,STD,UW4,AG0055,BR020
P0000003,C0000163,HOME,ACTIVE,09MAY2022,08MAY2027,25457.53,838000.00,1000.00,SUB,UW1,AG0004,BR013
P0000004,C0000184,WL,LAPSED,03JUN2021,29MAY2041,16884.25,842000.00,5000.00,PREF,UW3,AG0014,BR015
P0000005,C0000186,AUTO,ACTIVE,10JAN2023,10JAN2024,3583.12,94000.00,5000.00,STD,UW1,AG0056,BR001
P0000006,C0000101,HLTH,LAPSED,17OCT2021,16OCT2024,5572.37,211500.00,1000.00,PREF,UW2,AG0051,BR017
P0000007,C0000047,UL,LAPSED,28FEB2023,23FEB2043,19736.70,1030500.00,500.00,SPRM,UW2,AG0016,BR006
P0000008,C0000136,AUTO,ACTIVE,04APR2022,04APR2023,2778.20,92000.00,1000.00,STD,UW4,AG0021,BR023
P0000009,C0000162,HOME,CANCELLED,30AUG2021,30AUG2022,9471.59,628000.00,250.00,DEC,UW4,AG0028,BR017
P0000010,C0000013,HOME,ACTIVE,28DEC2023,26DEC2028,4199.41,596000.00,5000.00,SPRM,UW3,AG0041,BR006
P0000011,C0000104,RENT,ACTIVE,16MAY2023,14MAY2028,1536.51,51000.00,2500.00,SPRM,UW4,AG0028,BR021
P0000012,C0000120,AUTO,ACTIVE,31DEC2020,23FEB2024,1294.94,38000.00,1000.00,STD,UW1,AG0045,BR002
P0000013,C0000118,HLTH,ACTIVE,13SEP2023,12SEP2024,1594.26,63500.00,250.00,STD,UW2,AG0048,BR023
P0000014,C0000019,HLTH,ACTIVE,04DEC2022,22JAN2024,1069.55,106500.00,2500.00,STD,UW2,AG0027,BR006
P0000015,C0000234,HOME,ACTIVE,21MAR2023,28FEB2024,4308.89,614000.00,5000.00,PREF,UW3,AG0054,BR019
P0000016,C0000161,HOME,ACTIVE,02NOV2023,31OCT2028,5339.22,440000.00,1000.00,STD,UW2,AG0036,BR010
P0000017,C0000093,HLTH,EXPIRED,22OCT2020,18JUL2023,4452.45,130000.00,5000.00,PREF,UW2,AG0021,BR010
P0000018,C0000028,HLTH,ACTIVE,24NOV2023,23NOV2024,13670.26,460000.00,5000.00,STD,UW2,AG0050,BR019
P0000019,C0000066,HLTH,ACTIVE,28OCT2023,27OCT2024,3152.11,113000.00,250.00,PREF,UW1,AG0059,BR017
P0000020,C0000101,TL,CANCELLED,27DEC2023,24DEC2033,13590.17,1347000.00,2500.00,STD,UW1,AG0001,BR008
P0000021,C0000046,UL,CANCELLED,15MAY2022,10MAY2042,19223.29,895500.00,250.00,PREF,UW1,AG0030,BR014
P0000022,C0000069,AUTO,ACTIVE,24JUL2023,23JUL2024,801.12,40500.00,250.00,PREF,UW2,AG0014,BR004
P0000023,C0000245,AUTO,CANCELLED,19JAN2022,19JAN2023,288.43,28000.00,2500.00,SPRM,UW2,AG0060,BR023
P0000024,C0000205,TL,ACTIVE,14OCT2023,11OCT2033,18879.43,1434000.00,1000.00,STD,UW3,AG0036,BR019
P0000025,C0000142,AUTO,ACTIVE,06MAR2022,03MAR2032,2252.24,59000.00,250.00,PREF,UW1,AG0043,BR008
P0000026,C0000222,AUTO,ACTIVE,08FEB2023,08FEB2024,1923.98,73500.00,5000.00,STD,UW3,AG0019,BR009
P0000027,C0000226,RENT,ACTIVE,28SEP2021,28SEP2022,364.29,20500.00,0.00,PREF,UW3,AG0060,BR011
P0000028,C0000249,HOME,ACTIVE,22APR2021,22APR2022,12466.14,760000.00,250.00,STD,UW2,AG0028,BR013
P0000029,C0000005,HLTH,ACTIVE,08SEP2021,08SEP2022,16486.68,496500.00,250.00,STD,UW4,AG0043,BR007
P0000030,C0000073,AUTO,ACTIVE,17DEC2023,15DEC2028,419.29,48000.00,2500.00,STD,UW2,AG0040,BR025
P0000031,C0000008,WL,ACTIVE,29MAY2021,24MAY2041,3650.25,209500.00,2500.00,STD,UW2,AG0006,BR002
P0000032,C0000073,TL,LAPSED,30JUN2022,22JUN2052,3998.86,590000.00,2500.00,STD,UW3,AG0016,BR014
P0000033,C0000247,TL,ACTIVE,16SEP2022,29DEC2023,9058.67,311000.00,2500.00,STD,UW2,AG0047,BR022
P0000034,C0000030,HOME,ACTIVE,17DEC2022,17DEC2023,4406.04,363500.00,2500.00,STD,UW1,AG0031,BR013
P0000035,C0000029,AUTO,ACTIVE,06MAY2023,05MAY2024,1086.04,46500.00,500.00,SUB,UW3,AG0036,BR009
P0000036,C0000235,AUTO,ACTIVE,19OCT2023,18OCT2026,955.09,31000.00,5000.00,STD,UW4,AG0036,BR025
P0000037,C0000068,TL,ACTIVE,23MAY2020,18MAY2040,1604.55,237500.00,500.00,STD,UW1,AG0056,BR008
P0000038,C0000173,HOME,ACTIVE,04OCT2021,03OCT2024,3435.56,430000.00,500.00,SPRM,UW3,AG0031,BR015
P0000039,C0000178,HLTH,ACTIVE,15JUL2022,15JUL2023,3291.92,104000.00,2500.00,STD,UW2,AG0026,BR007
P0000040,C0000102,AUTO,ACTIVE,14JUN2022,11JUN2032,1254.45,96500.00,1000.00,PREF,UW1,AG0029,BR001
P0000041,C0000226,HOME,CANCELLED,20OCT2020,19OCT2025,10518.40,825000.00,500.00,STD,UW2,AG0015,BR003
P0000042,C0000114,UMBR,ACTIVE,22JAN2021,22JAN2022,105337.89,3982500.00,5000.00,SUB,UW4,AG0007,BR003
P0000043,C0000085,TL,ACTIVE,13APR2024,13APR2025,14222.80,742000.00,1000.00,DEC,UW1,AG0058,BR009
P0000044,C0000121,HOME,ACTIVE,30DEC2023,28DEC2028,7629.63,307000.00,0.00,STD,UW3,AG0035,BR014
P0000045,C0000048,RENT,ACTIVE,29APR2022,28APR2025,1365.69,34500.00,2500.00,SPRM,UW3,AG0040,BR018
P0000046,C0000095,HLTH,ACTIVE,04MAY2022,11FEB2024,1496.17,274000.00,5000.00,PREF,UW3,AG0049,BR001
P0000047,C0000081,TL,ACTIVE,09JUN2021,07JUN2031,26905.39,1116000.00,0.00,STD,UW2,AG0046,BR003
P0000048,C0000108,HOME,ACTIVE,25AUG2020,25AUG2023,13529.40,822000.00,250.00,PREF,UW1,AG0051,BR025
P0000049,C0000087,AUTO,ACTIVE,09OCT2021,16FEB2024,1201.50,52500.00,0.00,STD,UW2,AG0023,BR010
P0000050,C0000071,HLTH,ACTIVE,22JUN2023,21JUN2024,1452.41,116000.00,1000.00,SUB,UW3,AG0058,BR008
P0000051,C0000197,TL,ACTIVE,02FEB2022,08FEB2024,5620.10,1048500.00,5000.00,SPRM,UW1,AG0004,BR014
P0000052,C0000077,HOME,ACTIVE,19JUN2021,17JUN2031,3175.07,157000.00,500.00,STD,UW1,AG0041,BR021
