PAYMENT_ID,POLICY_ID,PAYMENT_DATE,PREMIUM_AMOUNT,PAYMENT_STATUS
PM0000001,P0000001,15DEC2023,213.55,RETURNED
PM0000002,P0000002,16NOV2023,55.78,POSTED
PM0000003,P0000002,17DEC2023,55.78,POSTED
PM0000004,P0000002,15JAN2024,55.78,POSTED
PM0000005,P0000003,18NOV2023,2121.46,RETURNED
PM0000006,P0000003,19DEC2023,2121.46,POSTED
PM0000007,P0000003,20JAN2024,2121.46,POSTED
PM0000008,P0000004,15DEC2023,1407.02,POSTED
PM0000009,P0000004,19JAN2024,1407.02,POSTED
PM0000010,P0000005,19NOV2023,298.59,POSTED
PM0000011,P0000005,17DEC2023,298.59,LATE
PM0000012,P0000005,17JAN2024,298.59,POSTED
PM0000013,P0000006,20NOV2023,464.36,RETURNED
PM0000014,P0000006,18DEC2023,464.36,POSTED
PM0000015,P0000006,16JAN2024,464.36,POSTED
PM0000016,P0000007,16DEC2023,1644.73,POSTED
PM0000017,P0000008,19NOV2023,231.52,RETURNED
PM0000018,P0000008,19DEC2023,231.52,POSTED
PM0000019,P0000008,17JAN2024,231.52,POSTED
PM0000020,P0000010,16NOV2023,349.95,POSTED
PM0000021,P0000010,19JAN2024,349.95,POSTED
PM0000022,P0000011,16NOV2023,128.04,POSTED
PM0000023,P0000011,25DEC2023,128.04,LATE
PM0000024,P0000011,17JAN2024,128.04,POSTED
PM0000025,P0000012,20NOV2023,107.91,POSTED
PM0000026,P0000012,19DEC2023,107.91,POSTED
PM0000027,P0000012,20JAN2024,107.91,POSTED
PM0000028,P0000013,17NOV2023,132.85,POSTED
PM0000029,P0000013,19JAN2024,132.85,POSTED
PM0000030,P0000014,15NOV2023,89.13,POSTED
PM0000031,P0000014,15DEC2023,89.13,POSTED
PM0000032,P0000015,15NOV2023,359.07,POSTED
PM0000033,P0000015,19DEC2023,359.07,RETURNED
PM0000034,P0000015,15JAN2024,359.07,POSTED
PM0000035,P0000016,20NOV2023,444.94,POSTED
PM0000036,P0000018,17NOV2023,1139.19,POSTED
PM0000037,P0000018,19DEC2023,1139.19,POSTED
PM0000038,P0000018,15JAN2024,1139.19,POSTED
PM0000039,P0000019,20NOV2023,262.68,POSTED
PM0000040,P0000019,15JAN2024,262.68,POSTED
PM0000041,P0000022,19NOV2023,66.76,RETURNED
PM0000042,P0000022,15DEC2023,66.76,POSTED
PM0000043,P0000022,15JAN2024,66.76,LATE
PM0000044,P0000024,17NOV2023,1573.29,POSTED
PM0000045,P0000024,16DEC2023,1573.29,POSTED
PM0000046,P0000025,18NOV2023,187.69,POSTED
PM0000047,P0000025,18JAN2024,187.69,POSTED
PM0000048,P0000026,20DEC2023,160.33,POSTED
PM0000049,P0000027,27DEC2023,30.36,LATE
PM0000050,P0000027,15JAN2024,30.36,POSTED
PM0000051,P0000028,20NOV2023,1038.85,POSTED
PM0000052,P0000028,20DEC2023,1038.85,POSTED
PM0000053,P0000028,16JAN2024,1038.85,POSTED
PM0000054,P0000029,20NOV2023,1373.89,POSTED
PM0000055,P0000029,20DEC2023,1373.89,POSTED
PM0000056,P0000029,17JAN2024,1373.89,POSTED
PM0000057,P0000030,17NOV2023,34.94,LATE
PM0000058,P0000030,16DEC2023,34.94,POSTED
PM0000059,P0000030,16JAN2024,34.94,POSTED
PM0000060,P0000031,15DEC2023,304.19,POSTED
PM0000061,P0000031,18JAN2024,304.19,POSTED
PM0000062,P0000032,18NOV2023,333.24,POSTED
PM0000063,P0000032,15DEC2023,333.24,POSTED
PM0000064,P0000032,16JAN2024,333.24,POSTED
PM0000065,P0000033,19NOV2023,754.89,POSTED
PM0000066,P0000033,19DEC2023,754.89,LATE
PM0000067,P0000033,27JAN2024,754.89,LATE
PM0000068,P0000034,17NOV2023,367.17,POSTED
PM0000069,P0000034,20DEC2023,367.17,POSTED
PM0000070,P0000034,18JAN2024,367.17,POSTED
PM0000071,P0000035,18NOV2023,90.50,POSTED
PM0000072,P0000035,19DEC2023,90.50,POSTED
PM0000073,P0000035,15JAN2024,90.50,POSTED
PM0000074,P0000036,20NOV2023,79.59,POSTED
PM0000075,P0000036,16DEC2023,79.59,POSTED
PM0000076,P0000036,17JAN2024,79.59,LATE
PM0000077,P0000037,19NOV2023,133.71,LATE
PM0000078,P0000037,15JAN2024,133.71,POSTED
PM0000079,P0000038,18NOV2023,286.30,POSTED
PM0000080,P0000038,19JAN2024,286.30,POSTED
PM0000081,P0000039,15NOV2023,274.33,POSTED
PM0000082,P0000039,18DEC2023,274.33,POSTED
PM0000083,P0000039,19JAN2024,274.33,POSTED
PM0000084,P0000040,20NOV2023,104.54,POSTED
PM0000085,P0000040,20DEC2023,104.54,POSTED
PM0000086,P0000040,18JAN2024,104.54,RETURNED
PM0000087,P0000042,20NOV2023,8778.16,POSTED
PM0000088,P0000042,18DEC2023,8778.16,POSTED
PM0000089,P0000042,15JAN2024,8778.16,POSTED
PM0000090,P0000043,19NOV2023,1185.23,POSTED
PM0000091,P0000043,16DEC2023,1185.23,LATE
PM0000092,P0000043,16JAN2024,1185.23,POSTED
PM0000093,P0000044,17NOV2023,635.80,POSTED
PM0000094,P0000044,19DEC2023,635.80,POSTED
PM0000095,P0000044,20JAN2024,635.80,POSTED
PM0000096,P0000045,15NOV2023,113.81,POSTED
PM0000097,P0000045,17DEC2023,113.81,LATE
PM0000098,P0000045,26JAN2024,113.81,LATE
PM0000099,P0000046,17NOV2023,124.68,POSTED
PM0000100,P0000046,18DEC2023,124.68,POSTED
PM0000101,P0000046,19JAN2024,124.68,POSTED
PM0000102,P0000047,20NOV2023,2242.12,POSTED
PM0000103,P0000047,22DEC2023,2242.12,LATE
PM0000104,P0000047,17JAN2024,2242.12,POSTED
PM0000105,P0000048,16NOV2023,1127.45,POSTED
PM0000106,P0000048,20DEC2023,1127.45,POSTED
PM0000107,P0000048,20JAN2024,1127.45,POSTED
PM0000108,P0000049,23NOV2023,100.12,LATE
PM0000109,P0000049,19DEC2023,100.12,POSTED
PM0000110,P0000050,15NOV2023,121.03,POSTED
PM0000111,P0000050,18DEC2023,121.03,POSTED
PM0000112,P0000050,16JAN2024,121.03,POSTED
PM0000113,P0000051,16NOV2023,468.34,POSTED
PM0000114,P0000051,15DEC2023,468.34,LATE
PM0000115,P0000051,16JAN2024,468.34,POSTED
PM0000116,P0000052,17NOV2023,264.59,POSTED
PM0000117,P0000052,19DEC2023,264.59,POSTED
PM0000118,P0000052,20JAN2024,264.59,POSTED
PM0000119,P0000053,15NOV2023,39.08,POSTED
PM0000120,P0000053,20DEC2023,39.08,POSTED
PM0000121,P0000053,15JAN2024,39.08,POSTED
PM0000122,P0000054,20NOV2023,588.83,POSTED
PM0000123,P0000054,19DEC2023,588.83,LATE
PM0000124,P0000055,19DEC2023,292.66,POSTED
PM0000125,P0000055,17JAN2024,292.66,POSTED
PM0000126,P0000056,19NOV2023,740.58,RETURNED
PM0000127,P0000056,15JAN2024,740.58,POSTED
PM0000128,P0000057,18NOV2023,2052.48,RETURNED
PM0000129,P0000057,21DEC2023,2052.48,LATE
PM0000130,P0000057,19JAN2024,2052.48,POSTED
PM0000131,P0000058,15NOV2023,184.01,POSTED
PM0000132,P0000058,17DEC2023,184.01,POSTED
PM0000133,P0000058,16JAN2024,184.01,POSTED
PM0000134,P0000059,17NOV2023,164.80,RETURNED
PM0000135,P0000059,20JAN2024,164.80,POSTED
PM0000136,P0000060,15NOV2023,134.14,POSTED
PM0000137,P0000060,18JAN2024,134.14,POSTED
PM0000138,P0000061,17NOV2023,115.93,POSTED
PM0000139,P0000061,17DEC2023,115.93,POSTED
PM0000140,P0000061,20JAN2024,115.93,POSTED
PM0000141,P0000063,17NOV2023,89.03,POSTED
PM0000142,P0000063,15DEC2023,89.03,POSTED
PM0000143,P0000063,19JAN2024,89.03,POSTED
PM0000144,P0000064,19NOV2023,675.24,LATE
PM0000145,P0000064,19DEC2023,675.24,POSTED
PM0000146,P0000065,15NOV2023,1403.85,POSTED
PM0000147,P0000065,17DEC2023,1403.85,POSTED
PM0000148,P0000066,16NOV2023,186.50,POSTED
PM0000149,P0000066,19DEC2023,186.50,POSTED
PM0000150,P0000066,19JAN2024,186.50,RETURNED
PM0000151,P0000067,19NOV2023,90.40,POSTED
PM0000152,P0000067,18JAN2024,90.40,POSTED
PM0000153,P0000068,18NOV2023,220.72,POSTED
PM0000154,P0000068,15DEC2023,220.72,POSTED
PM0000155,P0000068,17JAN2024,220.72,POSTED
PM0000156,P0000069,20NOV2023,68.96,POSTED
PM0000157,P0000069,20DEC2023,68.96,POSTED
PM0000158,P0000069,18JAN2024,68.96,LATE
PM0000159,P0000070,17NOV2023,869.72,POSTED
PM0000160,P0000070,17DEC2023,869.72,POSTED
PM0000161,P0000070,17JAN2024,869.72,POSTED
PM0000162,P0000071,20DEC2023,63.62,RETURNED
PM0000163,P0000071,17JAN2024,63.62,POSTED
PM0000164,P0000072,17NOV2023,700.34,POSTED
PM0000165,P0000072,19JAN2024,700.34,POSTED
PM0000166,P0000073,15DEC2023,167.71,LATE
PM0000167,P0000073,19JAN2024,167.71,POSTED
PM0000168,P0000074,18NOV2023,72.00,LATE
PM0000169,P0000074,17DEC2023,72.00,POSTED
PM0000170,P0000074,18JAN2024,72.00,POSTED
PM0000171,P0000075,18NOV2023,73.01,POSTED
PM0000172,P0000075,19DEC2023,73.01,POSTED
PM0000173,P0000075,17JAN2024,73.01,POSTED
PM0000174,P0000076,19NOV2023,1289.30,POSTED
PM0000175,P0000076,16DEC2023,1289.30,POSTED
PM0000176,P0000076,17JAN2024,1289.30,POSTED
PM0000177,P0000077,18DEC2023,6434.95,POSTED
PM0000178,P0000077,17JAN2024,6434.95,POSTED
PM0000179,P0000079,19NOV2023,218.55,POSTED
PM0000180,P0000079,19DEC2023,218.55,POSTED
PM0000181,P0000079,16JAN2024,218.55,POSTED
PM0000182,P0000080,15NOV2023,607.41,POSTED
PM0000183,P0000080,23DEC2023,607.41,LATE
PM0000184,P0000080,19JAN2024,607.41,POSTED
PM0000185,P0000081,16NOV2023,1014.37,POSTED
PM0000186,P0000081,18DEC2023,1014.37,POSTED
PM0000187,P0000082,17NOV2023,70.59,POSTED
PM0000188,P0000082,15DEC2023,70.59,POSTED
PM0000189,P0000083,16NOV2023,3906.93,LATE
PM0000190,P0000083,19JAN2024,3906.93,POSTED
PM0000191,P0000084,17NOV2023,122.83,POSTED
PM0000192,P0000084,15DEC2023,122.83,RETURNED
PM0000193,P0000084,15JAN2024,122.83,POSTED
PM0000194,P0000085,27NOV2023,647.47,LATE
PM0000195,P0000085,19DEC2023,647.47,POSTED
PM0000196,P0000085,15JAN2024,647.47,LATE
PM0000197,P0000086,15NOV2023,245.71,POSTED
PM0000198,P0000086,19DEC2023,245.71,POSTED
PM0000199,P0000086,15JAN2024,245.71,POSTED
PM0000200,P0000087,19NOV2023,147.78,POSTED
PM0000201,P0000087,17JAN2024,147.78,RETURNED
PM0000202,P0000089,20NOV2023,22.60,POSTED
PM0000203,P0000089,18DEC2023,22.60,RETURNED
PM0000204,P0000091,16NOV2023,852.53,POSTED
PM0000205,P0000091,20DEC2023,852.53,POSTED
PM0000206,P0000091,17JAN2024,852.53,LATE
PM0000207,P0000092,20NOV2023,212.94,POSTED
PM0000208,P0000092,18DEC2023,212.94,POSTED
PM0000209,P0000092,18JAN2024,212.94,POSTED
PM0000210,P0000094,17NOV2023,206.08,POSTED
PM0000211,P0000094,15DEC2023,206.08,RETURNED
PM0000212,P0000094,25JAN2024,206.08,LATE
PM0000213,P0000095,18NOV2023,46.75,POSTED
PM0000214,P0000095,16DEC2023,46.75,POSTED
PM0000215,P0000095,17JAN2024,46.75,POSTED
PM0000216,P0000096,20NOV2023,1041.07,POSTED
PM0000217,P0000096,18DEC2023,1041.07,POSTED
PM0000218,P0000096,15JAN2024,1041.07,POSTED
PM0000219,P0000097,15NOV2023,225.61,POSTED
PM0000220,P0000097,19JAN2024,225.61,POSTED
PM0000221,P0000098,27NOV2023,1883.58,LATE
PM0000222,P0000098,19DEC2023,1883.58,POSTED
PM0000223,P0000098,19JAN2024,1883.58,POSTED
PM0000224,P0000099,20NOV2023,347.68,POSTED
PM0000225,P0000099,26DEC2023,347.68,LATE
PM0000226,P0000099,16JAN2024,347.68,RETURNED
PM0000227,P0000101,20NOV2023,233.16,POSTED
PM0000228,P0000101,16DEC2023,233.16,POSTED
PM0000229,P0000101,19JAN2024,233.16,POSTED
PM0000230,P0000102,17NOV2023,132.67,POSTED
PM0000231,P0000102,16DEC2023,132.67,POSTED
PM0000232,P0000102,19JAN2024,132.67,POSTED
PM0000233,P0000103,17NOV2023,583.98,POSTED
PM0000234,P0000103,18DEC2023,583.98,POSTED
PM0000235,P0000103,19JAN2024,583.98,POSTED
PM0000236,P0000104,20NOV2023,645.35,POSTED
PM0000237,P0000104,16DEC2023,645.35,LATE
PM0000238,P0000104,18JAN2024,645.35,POSTED
PM0000239,P0000105,17NOV2023,54.54,POSTED
PM0000240,P0000105,25DEC2023,54.54,LATE
PM0000241,P0000105,16JAN2024,54.54,POSTED
PM0000242,P0000106,23NOV2023,197.64,LATE
PM0000243,P0000106,17DEC2023,197.64,LATE
PM0000244,P0000106,20JAN2024,197.64,RETURNED
PM0000245,P0000107,18NOV2023,827.91,POSTED
PM0000246,P0000107,20DEC2023,827.91,POSTED
PM0000247,P0000107,17JAN2024,827.91,POSTED
PM0000248,P0000108,18DEC2023,1097.07,POSTED
PM0000249,P0000108,15JAN2024,1097.07,POSTED
PM0000250,P0000109,19NOV2023,6966.75,POSTED
